,Address,Grades,Name,Rating,Type
0,"977 Balls Hill Rd, Mclean, VA 22101",7-8,Cooper Middle School,10,Public district
1,"7100 Churchill Rd, Mclean, VA 22101",PK-6,Churchill Road Elementary School,9,Public district
2,"2708 Centreville Rd, Herndon, VA 20171",PK-6,Floris Elementary School,9,Public district
3,"4101 Pickett Rd, Fairfax, VA 22032",7-8,Frost Middle School,9,Public district
4,"701 Walker Rd, Great Falls, VA 22066",PK-6,Great Falls Elementary School,9,Public district
5,"6616 Haycock Rd, Falls Church, VA 22043",PK-6,Haycock Elementary School,9,Public district
6,"1717 Melbourne Dr, Mclean, VA 22101",PK-6,Kent Gardens Elementary School,9,Public district
7,"2000 Westmoreland St, Falls Church, VA 22043",7-8,Longfellow Middle School,9,Public district
8,"9107 Horner Court, Fairfax, VA 22031",PK-6,Mantua Elementary School,9,Public district
9,"8201 Lewinsville Rd, Mclean, VA 22102",PK-6,Spring Hill Elementary School,9,Public district
10,"1741 Pine Valley Dr, Vienna, VA 22182",PK-6,Westbriar Elementary School,9,Public district
11,"1903 Beulah Rd, Vienna, VA 22182",PK-6,Wolftrap Elementary School,9,Public district
12,"1085 Utterback Store Rd, Great Falls, VA 22066",PK-6,Forestville Elementary School,9,Public district
13,"4400 Stringfellow Rd, Chantilly, VA 20151",7-8,Rocky Run Middle School,9,Public district
14,"3210 Kinross Circle, Herndon, VA 20171",PK-6,Oak Hill Elementary School,9,Public district
15,"2791 Fox Mill Rd, Herndon, VA 20171",PK-6,Crossfield Elementary School,9,Public district
16,"7420 Reservation Dr, Springfield, VA 22153",PK-6,Sangster Elementary School,9,Public district
17,"5400 Willow Springs School Rd, Fairfax, VA 22030",PK-6,Willow Springs Elementary School,9,Public district
18,"1400 Trap Road, Vienna, VA 22182",PK-6,Colvin Run Elementary School,9,Public district
19,"11509 Waples Mill Rd, Oakton, VA 22124",PK-6,Waples Mill Elementary School,8,Public district
20,"1753 Kirby Rd, Mclean, VA 22101",PK-6,Chesterbrook Elementary School,8,Public district
21,"8100 Old Keene Mill Rd, Springfield, VA 22152",7-8,Irving Middle School,8,Public district
22,"6310 Bardu Ave, Springfield, VA 22152",K-6,Keene Mill Elementary School,8,Public district
23,"8100 Wolftrap Rd, Vienna, VA 22182",7-8,Kilmer Middle School,8,Public district
24,"6520 Georgetown Pk, Mclean, VA 22101",9-12,Langley High School,8,Public district
25,"3500 West Ox Rd, Fairfax, VA 22033",PK-6,Navy Elementary School,8,Public district
26,"3000 Chain Bridge Rd, Oakton, VA 22124",PK-6,Oakton Elementary School,8,Public district
27,"6200 Charles Goff Dr, Springfield, VA 22150",PK-6,Springfield Estates Elementary School,8,Public district
28,"2620 Gallows Rd, Vienna, VA 22180",PK-6,Stenwood Elementary School,8,Public district
29,"10824 Cross School Rd, Reston, VA 20191",PK-6,Sunrise Valley Elementary School,8,Public district
30,"2505 Cedar Ln, Vienna, VA 22180",7-8,Thoreau Middle School,8,Public district
31,"4011 Iva Ln, Fairfax, VA 22032",PK-6,Wakefield Forest Elementary School,8,Public district
32,"1205 Waynewood Blvd, Alexandria, VA 22308",PK-6,Waynewood Elementary School,8,Public district
33,"6100 Rolling Rd, Springfield, VA 22152",10-12,West Springfield High School,8,Public district
34,"13618 Mclearen Rd, Herndon, VA 20171",7-8,Carson Middle School,8,Public district
35,"3300 Lees Corner Rd, Chantilly, VA 20151",7-8,Franklin Middle School,8,Public district
36,"13440 Melville Ln, Chantilly, VA 20151",PK-6,Poplar Tree Elementary School,8,Public district
37,"6801 Union Mill Rd, Clifton, VA 20124",7-8,Liberty Middle School,8,Public district
38,"5500 Sully Park Dr., Centreville, VA 20120",7-8,Stone Middle School,7,Public district
39,"8100 Guinevere Dr, Annandale, VA 22003",PK-6,Camelot Elementary School,7,Public district
40,"4910 Willet Dr, Annandale, VA 22003",PK-6,Canterbury Woods Elementary School,7,Public district
41,"5815 Ox Rd, Fairfax Station, VA 22039",PK-6,Fairview Elementary School,7,Public district
42,"2444 Flint Hill Rd, Vienna, VA 22181",PK-6,Flint Hill Elementary School,7,Public district
43,"6633 Brawner St, Mclean, VA 22101",PK-6,Sherman Elementary School,7,Public district
44,"13300 Poplar Tree Rd, Fairfax, VA 22033",PK-6,Greenbriar West Elementary School,7,Public district
45,"7107 Sydenstricker Rd, Springfield, VA 22152",PK-6,Hunt Valley Elementary School,7,Public district
46,"3801 Jermantown Rd, Fairfax, VA 22030",7-8,Lanier Middle School,7,Public district
47,"7731 Leesburg Pk, Falls Church, VA 22043",9-12,Marshall High School,7,Public district
48,"1633 Davidson Rd, Mclean, VA 22101",9-12,Mclean High School,7,Public district
49,"9819 Five Oaks Rd, Fairfax, VA 22031",PK-6,Mosby Woods Elementary School,7,Public district
50,"6820 Sydenstricker Rd, Springfield, VA 22152",PK-6,Orange Hunt Elementary School,7,Public district
51,"128 Center St South, Vienna, VA 22180",PK-6,Vienna Elementary School,7,Public district
52,"13611 Springstone Dr, Clifton, VA 20124",PK-6,Union Mill Elementary School,7,Public district
53,"13500 Hollinger Ave, Fairfax, VA 22033",PK-6,Lees Corner Elementary School,7,Public district
54,"9350 Crosspointe Dr, Fairfax Station, VA 22039",PK-6,Silverbrook Elementary School,7,Public district
55,"7855 Morning View Ln, Alexandria, VA 22315",PK-6,Island Creek Elementary School,7,Public district
56,"13340 Leland Rd, Centreville, VA 20120",PK-6,Powell Elementary School,7,Public district
57,"8700 Laurel Crest Dr., Lorton, VA 22079",7-8,South County Middle School,7,Public district
58,"4201 Stringfellow Rd, Chantilly, VA 20151",9-12,Chantilly High School,6,Public district
59,"6540 Columbia Pk, Falls Church, VA 22041",PK-5,Belvedere Elementary School,6,Public district
60,"6344 Beryl Rd, Alexandria, VA 22312",PK-5,Bren Mar Park Elementary School,6,Public district
61,"5927 Westchester St, Alexandria, VA 22310",PK-6,Bush Hill Elementary School,6,Public district
62,"6720 Alpine Dr, Annandale, VA 22003",PK-5,Columbia Elementary School,6,Public district
63,"3001 Chichester Ln, Fairfax, VA 22031",PK-6,Fairhill Elementary School,6,Public district
64,"13006 Point Pleasant Dr, Fairfax, VA 22033",PK-6,Greenbriar East Elementary School,6,Public district
65,"5400 Harrow Way, Springfield, VA 22151",PK-3,Kings Park Elementary School,6,Public district
66,"9200 Burke Lake Road, Burke, VA 22015",7-12,Lake Braddock Secondary,6,Public district
67,"10110 Commonwealth Blvd, Fairfax, VA 22032",PK-6,Laurel Ridge Elementary School,6,Public district
68,"7230 Idylwood Rd, Falls Church, VA 22043",PK-6,Lemon Road Elementary School,6,Public district
69,"4511 Olley Ln, Fairfax, VA 22032",PK-6,Little Run Elementary School,6,Public district
70,"324 Nutley St Nw, Vienna, VA 22180",PK-6,Louise Archer Elementary School,6,Public district
71,"3020 Gallows Rd, Falls Church, VA 22042",7-8,Jackson Middle School,6,Public district
72,"2500 James Madison Dr, Vienna, VA 22181",9-12,Madison High School,6,Public district
73,"2900 Sutton Rd, Vienna, VA 22181",9-12,Oakton High School,6,Public district
74,"5411 Nutting Dr, Springfield, VA 22151",PK-6,Ravensworth Elementary School,6,Public district
75,"5035 Sideburn Rd, Fairfax, VA 22032",7-12,Robinson Secondary,6,Public district
76,"8484 Riverside Rd, Alexandria, VA 22308",PK-6,Stratford Landing Elementary School,6,Public district
77,"6802 Deland Dr, Springfield, VA 22152",PK-6,West Springfield Elementary School,6,Public district
78,"7500 Magarity Rd, Falls Church, VA 22043",PK-6,Westgate Elementary School,6,Public district
79,"9525 Main St, Fairfax, VA 22031",9-12,Woodson High School,6,Public district
80,"11375 Center Harbor Rd, Reston, VA 20194",PK-6,Aldrin Elementary School,6,Public district
81,"14330 Green Trails Blvd, Centreville, VA 20121",PK-6,Centreville Elementary School,6,Public district
82,"7137 Beulah St, Alexandria, VA 22315",PK-6,Lane Elementary School,6,Public district
83,"2611 Viking Dr, Herndon, VA 20171",PK-6,Fox Mill Elementary School,6,Public district
84,"11401 Ridge Heights Rd, Reston, VA 20191",7-8,Hughes Middle School,6,Public district
85,"5401 Danbury Forest Dr, Springfield, VA 22151",4-6,Kings Glen Elementary School,6,Public district
86,"6130 Shiplett Blvd, Burke, VA 22015",PK-6,White Oaks Elementary School,6,Public district
87,"2499 Thomas Jefferson Dr, Herndon, VA 20171",PK-6,Mcnair Elementary School,6,Public district
88,"5720 Clermont Dr, Alexandria, VA 22310",PK-6,Clermont Elementary School,5,Public district
89,"3501 Rebel Run, Fairfax, VA 22030",9-12,Fairfax High School,5,Public district
90,"6301 Beulah St, Alexandria, VA 22310",PK-6,Franconia Elementary School,5,Public district
91,"10100 Gunston Rd, Lorton, VA 22079",PK-6,Gunston Elementary School,5,Public district
92,"7633 Telegraph Rd, Alexandria, VA 22315",PK-6,Hayfield Elementary School,5,Public district
93,"6525 Montrose St, Alexandria, VA 22312",6-8,Holmes Middle School,5,Public district
94,"2401 Colts Neck Rd, Reston, VA 20191",PK-6,Hunters Woods Elementary,5,Public district
95,"11510 North Shore Dr, Reston, VA 20190",PK-6,Lake Anne Elementary School,5,Public district
96,"6100 Stone Rd, Centreville, VA 20120",PK-6,London Towne Elementary School,5,Public district
97,"730 Marshall Rd Sw, Vienna, VA 22180",PK-6,Marshall Road Elementary School,5,Public district
98,"5004 Sideburn Rd, Fairfax, VA 22032",PK-6,Oak View Elementary School,5,Public district
99,"9524 Old Creek Dr, Fairfax, VA 22032",PK-6,Olde Creek Elementary School,5,Public district
100,"7607 Willow Ln, Falls Church, VA 22042",PK-6,Pine Spring Elementary School,5,Public district
101,"6703 Barnack Dr, Springfield, VA 22152",PK-6,Rolling Valley Elementary School,5,Public district
102,"7525 Shreve Rd, Falls Church, VA 22043",PK-6,Shrevewood Elementary School,5,Public district
103,"4700 Franconia Rd, Alexandria, VA 22310",7-8,Twain Middle School,5,Public district
104,"9100 Cherrytree Dr, Alexandria, VA 22309",PK-6,Washington Mill Elementary School,5,Public district
105,"6000 Burke Centre Parkway, Burke, VA 22015",PK-6,Terra Centre Elementary School,5,Public district
106,"9732 Ironmaster Dr, Burke, VA 22015",PK-6,Cherry Run Elementary School,5,Public district
107,"5301 Sully Station Dr, Centreville, VA 20120",PK-6,Cub Run Elementary School,5,Public district
108,"6001 Union Mill Rd, Clifton, VA 20124",9-12,Centreville High School,5,Public district
109,"5420 Sideburn Rd, Fairfax, VA 22032",PK-6,Bonnie Brae Elementary School,5,Public district
110,"15450 Martins Hundred Dr, Centreville, VA 20120",PK-6,Virginia Run Elementary School,5,Public district
111,"15301 Lee Hwy, Centreville, VA 20121",PK-6,Bull Run Elementary School,5,Public district
112,"8501 Silverbrook Road, Lorton, VA 22079",9-12,South County High School,5,Public district
113,"4500 Dixie Hill Rd, Fairfax, VA 22030",PK-6,Eagle View Elementary School,5,Public district
114,"4700 Medford Dr, Annandale, VA 22003",9-12,Annandale High School,4,Public district
115,"4200 Lees Corner Rd, Chantilly, VA 20151",PK-6,Brookfield Elementary School,4,Public district
116,"6925 University Dr, Alexandria, VA 22307",PK-6,Bucknell Elementary School,4,Public district
117,"3434 Campbell Dr, Alexandria, VA 22303",PK-6,Cameron Elementary School,4,Public district
118,"8600 Forrester Blvd, Springfield, VA 22152",PK-6,Cardinal Forest Elementary School,4,Public district
119,"1001 Park St Se, Vienna, VA 22180",PK-6,Cunningham Park Elementary School,4,Public district
120,"5801 Franconia Rd, Alexandria, VA 22310",9-12,Edison High School,4,Public district
121,"10900 Santa Clara Dr, Fairfax, VA 22030",PK-6,Fairfax Villa Elementary School,4,Public district
122,"7521 Jaguar Trail, Falls Church, VA 22042",9-12,Falls Church High School,4,Public district
123,"1501 Beacontree Ln, Reston, VA 20190",PK-6,Forest Edge Elementary School,4,Public district
124,"6530 Elder Ave, Springfield, VA 22150",PK-6,Forestdale Elementary School,4,Public district
125,"8428 Fort Hunt Rd, Alexandria, VA 22308",7-8,Sandburg Middle School,4,Public district
126,"2500 Parkers Ln, Alexandria, VA 22306",7-8,Whitman Middle School,4,Public district
127,"1945 Lord Fairfax Rd, Vienna, VA 22182",PK-6,Freedom Hill Elementary School,4,Public district
128,"7630 Telegraph Rd, Alexandria, VA 22315",7-12,Hayfield Secondary,4,Public district
129,"3415 Lockheed Blvd, Alexandria, VA 22306",PK-6,Hybla Valley Elementary School,4,Public district
130,"6402 Franconia Rd, Springfield, VA 22150",7-8,Key Middle School,4,Public district
